Name,Filter,Object,ExposureMode,UT,Grism
NCrd170379.fits,Ks,hp_std p0 2,expose 3.0, TCS UTC at start ( 3h:59m:35.0s)               ,OPEN
NCrd170380.fits,Ks,hp_std p135 3,expose 3.0, TCS UTC at start (  4h:0m:27.0s)               ,OPEN
NCrd170381.fits,Ks,hp_std p90 3,expose 3.0, TCS UTC at start (  4h:0m:48.0s)               ,OPEN
NCrd170382.fits,Ks,hp_std p45 3,expose 3.0, TCS UTC at start (  4h:1m:10.0s)               ,OPEN
NCrd170383.fits,Ks,hp_std p0 3,expose 3.0, TCS UTC at start (  4h:1m:30.0s)               ,OPEN
NCrd170384.fits,Ks,hp_std p135 4,expose 3.0, TCS UTC at start (  4h:2m:14.0s)               ,OPEN
NCrd170385.fits,Ks,hp_std p90 4,expose 3.0, TCS UTC at start (  4h:2m:35.0s)               ,OPEN
NCrd170386.fits,Ks,hp_std p45 4,expose 3.0, TCS UTC at start (  4h:2m:52.0s)               ,OPEN
NCrd170387.fits,Ks,hp_std p0 4,expose 3.0, TCS UTC at start (  4h:3m:11.0s)               ,OPEN
NCrd170388.fits,Ks,hp_std p135 5,expose 3.0, TCS UTC at start (  4h:3m:59.0s)               ,OPEN
NCrd170389.fits,Ks,hp_std p90 5,expose 3.0, TCS UTC at start (  4h:4m:17.0s)               ,OPEN
NCrd170390.fits,Ks,hp_std p45 5,expose 3.0, TCS UTC at start (  4h:4m:47.0s)               ,OPEN
NCrd170391.fits,Ks,hp_std p0 5,expose 3.0, TCS UTC at start (   4h:5m:5.0s)               ,OPEN
NCrd170392.fits,H,Oph-Elia2,frames 4.0 4, TCS UTC at start (  4h:7m:30.0s)               ,OPEN
NCrd170393.fits,H,Oph-Elia2,frames 5.0 5, TCS UTC at start (  4h:8m:24.0s)               ,OPEN
NCrd170394.fits,H,hp_std p135 1,frames 5.0 5, TCS UTC at start ( 4h:10m:40.0s)               ,OPEN
NCrd170395.fits,H,hp_std p90 1,frames 5.0 5, TCS UTC at start ( 4h:11m:27.0s)               ,OPEN
NCrd170396.fits,H,hp_std p45 1,frames 5.0 5, TCS UTC at start (  4h:12m:8.0s)               ,OPEN
NCrd170397.fits,H,hp_std p0 1,frames 5.0 5, TCS UTC at start ( 4h:12m:49.0s)               ,OPEN
NCrd170398.fits,H,hp_std p135 2,frames 5.0 5, TCS UTC at start ( 4h:13m:59.0s)               ,OPEN
NCrd170399.fits,H,hp_std p90 2,frames 5.0 5, TCS UTC at start ( 4h:14m:40.0s)               ,OPEN
NCrd170400.fits,H,hp_std p45 2,frames 5.0 5, TCS UTC at start ( 4h:15m:20.0s)               ,OPEN
NCrd170401.fits,H,hp_std p0 2,frames 5.0 5, TCS UTC at start (  4h:16m:1.0s)               ,OPEN
NCrd170402.fits,H,hp_std p135 3,frames 5.0 5, TCS UTC at start ( 4h:17m:13.0s)               ,OPEN
NCrd170403.fits,H,hp_std p90 3,frames 5.0 5, TCS UTC at start ( 4h:17m:54.0s)               ,OPEN
NCrd170404.fits,H,hp_std p45 3,frames 5.0 5, TCS UTC at start ( 4h:18m:36.0s)               ,OPEN
NCrd170405.fits,H,hp_std p0 3,frames 5.0 5, TCS UTC at start ( 4h:19m:19.0s)               ,OPEN
NCrd170406.fits,H,hp_std p135 4,frames 5.0 5, TCS UTC at start ( 4h:20m:33.0s)               ,OPEN
NCrd170407.fits,H,hp_std p90 4,frames 5.0 5, TCS UTC at start ( 4h:21m:15.0s)               ,OPEN
NCrd170408.fits,H,hp_std p45 4,frames 5.0 5, TCS UTC at start ( 4h:21m:56.0s)               ,OPEN
NCrd170409.fits,H,hp_std p0 4,frames 5.0 5, TCS UTC at start ( 4h:22m:38.0s)               ,OPEN
NCrd170410.fits,H,hp_std p135 5,frames 5.0 5, TCS UTC at start ( 4h:23m:53.0s)               ,OPEN
NCrd170411.fits,H,hp_std p90 5,frames 5.0 5, TCS UTC at start ( 4h:24m:49.0s)               ,OPEN
NCrd170412.fits,H,hp_std p45 5,frames 5.0 5, TCS UTC at start ( 4h:25m:30.0s)               ,OPEN
NCrd170413.fits,H,hp_std p0 5,frames 5.0 5, TCS UTC at start ( 4h:26m:13.0s)               ,OPEN
NCrd170414.fits,OPEN,M57,frames 10.0 6, TCS UTC at start ( 4h:29m:32.0s)               ,OPEN
NCrd170415.fits,OPEN,M57,frames 10.0 6, TCS UTC at start ( 4h:31m:37.0s)               ,OPEN
NCrd170416.fits,J,M57,frames 10.0 6, TCS UTC at start ( 4h:34m:58.0s)               ,OPEN
NCrd170417.fits,J,M57 1,frames 10.0 6, TCS UTC at start ( 4h:37m:12.0s)               ,OPEN
NCrd170418.fits,J,sky 1,frames 10.0 6, TCS UTC at start ( 4h:38m:46.0s)               ,OPEN
NCrd170419.fits,J,M57 2,frames 10.0 6, TCS UTC at start ( 4h:40m:17.0s)               ,OPEN
NCrd170420.fits,J,sky 2,frames 10.0 6, TCS UTC at start ( 4h:41m:53.0s)               ,OPEN
NCrd170421.fits,J,M57 3,frames 10.0 6, TCS UTC at start ( 4h:43m:43.0s)               ,OPEN
NCrd170422.fits,J,sky 3,frames 10.0 6, TCS UTC at start ( 4h:45m:33.0s)               ,OPEN
NCrd170423.fits,J,M57 4,frames 10.0 6, TCS UTC at start ( 4h:47m:18.0s)               ,OPEN
NCrd170424.fits,J,sky 4,frames 10.0 6, TCS UTC at start ( 4h:48m:45.0s)               ,OPEN
NCrd170425.fits,J,M57 5,frames 10.0 6, TCS UTC at start ( 4h:50m:14.0s)               ,OPEN
NCrd170426.fits,J,sky 5,frames 10.0 6, TCS UTC at start ( 4h:51m:55.0s)               ,OPEN
NCrd170427.fits,J,M57 6,frames 10.0 6, TCS UTC at start ( 4h:53m:49.0s)               ,OPEN
NCrd170428.fits,J,sky 6,frames 10.0 6, TCS UTC at start ( 4h:55m:23.0s)               ,OPEN
NCrd170429.fits,K,Sy1,expose 3.0, TCS UTC at start ( 4h:59m:32.0s)               ,OPEN
NCrd170430.fits,K,Sy1,expose 3.0, TCS UTC at start (  5h:3m:51.0s)               ,OPEN
NCrd170431.fits,K,Sy1,expose 3.0, TCS UTC at start (  5h:7m:41.0s)               ,OPEN
NCrd170432.fits,K,Sy1,expose 3.0, TCS UTC at start (  5h:8m:35.0s)               ,OPEN
NCrd170433.fits,K,frame10x11 1,frames 10.0 11, TCS UTC at start ( 5h:10m:41.0s)               ,Grism#1
NCrd170434.fits,K,frame10x11 2,frames 10.0 11, TCS UTC at start ( 5h:13m:17.0s)               ,Grism#1
NCrd170435.fits,K,Ha_flat_K 1,frames 7.0 3, TCS UTC at start (  5h:18m:2.0s)               ,Grism#1
NCrd170436.fits,K,Ha_flat_K 1,frames 3.6 3, TCS UTC at start ( 5h:19m:57.0s)               ,Grism#1
NCrd170437.fits,K,Ha_flat_K 1,expose 5.0, TCS UTC at start ( 5h:20m:56.0s)               ,Grism#1
NCrd170438.fits,K,Xe_arc_K 1,expose 10.0, TCS UTC at start ( 5h:22m:21.0s)               ,Grism#1
NCrd170439.fits,K,Xe_arc_K 1,expose 20.0, TCS UTC at start (  5h:23m:8.0s)               ,Grism#1
NCrd170440.fits,K,Ar_arc_K 1,expose 10.0, TCS UTC at start ( 5h:24m:34.0s)               ,Grism#1
NCrd170441.fits,K,Ar_arc_K 1,expose 5.0, TCS UTC at start ( 5h:25m:17.0s)               ,Grism#1
NCrd170442.fits,K,HIP90271,expose 0.5, TCS UTC at start ( 5h:27m:58.0s)               ,Grism#1
NCrd170443.fits,K,HIP90271,expose 1.0, TCS UTC at start ( 5h:28m:46.0s)               ,Grism#1
NCrd170444.fits,K,HIP90271,expose 5.0, TCS UTC at start ( 5h:31m:27.0s)               ,Grism#1
NCrd170445.fits,K,HIP90271,expose 0.5, TCS UTC at start ( 5h:31m:59.0s)               ,OPEN
NCrd170446.fits,K,HIP90271,expose 0.5, TCS UTC at start ( 5h:32m:44.0s)               ,OPEN
NCrd170447.fits,K,frame10x3 1,frames 10.0 3, TCS UTC at start (  5h:34m:5.0s)               ,Grism#1
NCrd170448.fits,K,frame10x3 2,frames 10.0 3, TCS UTC at start ( 5h:34m:57.0s)               ,Grism#1
NCrd170449.fits,K,Ha_flat_K 1,expose 5.0, TCS UTC at start ( 5h:36m:59.0s)               ,Grism#1
NCrd170450.fits,K,Xe_arc_K 1,expose 20.0, TCS UTC at start ( 5h:37m:59.0s)               ,Grism#1
NCrd170451.fits,K,Ar_arc_K 1,expose 5.0, TCS UTC at start ( 5h:38m:47.0s)               ,Grism#1
NCrd170452.fits,OPEN,M57,frames 10.0 6, TCS UTC at start ( 5h:45m:49.0s)               ,OPEN
NCrd170453.fits,OPEN,M57,frames 10.0 6, TCS UTC at start ( 5h:47m:35.0s)               ,OPEN
NCrd170454.fits,Ks,M57,frames 10.0 6, TCS UTC at start ( 5h:50m:23.0s)               ,OPEN
NCrd170455.fits,Ks,M57 1,frames 10.0 6, TCS UTC at start ( 5h:52m:29.0s)               ,OPEN
NCrd170456.fits,Ks,sky 1,frames 10.0 6, TCS UTC at start (  5h:54m:3.0s)               ,OPEN
NCrd170457.fits,Ks,M57 2,frames 10.0 6, TCS UTC at start ( 5h:55m:21.0s)               ,OPEN
NCrd170458.fits,Ks,sky 2,frames 10.0 6, TCS UTC at start (  5h:57m:2.0s)               ,OPEN
NCrd170459.fits,Ks,M57 3,frames 10.0 6, TCS UTC at start ( 5h:58m:33.0s)               ,OPEN
NCrd170460.fits,Ks,sky 3,frames 10.0 6, TCS UTC at start (  6h:0m:18.0s)               ,OPEN
NCrd170461.fits,Ks,M57 4,frames 10.0 6, TCS UTC at start (  6h:1m:49.0s)               ,OPEN
NCrd170462.fits,Ks,sky 4,frames 10.0 6, TCS UTC at start (  6h:3m:21.0s)               ,OPEN
NCrd170463.fits,Ks,M57 5,frames 10.0 6, TCS UTC at start (   6h:5m:5.0s)               ,OPEN
NCrd170464.fits,Ks,sky 5,frames 10.0 6, TCS UTC at start (  6h:6m:38.0s)               ,OPEN
NCrd170465.fits,Ks,M57 6,frames 10.0 6, TCS UTC at start (  6h:8m:12.0s)               ,OPEN
NCrd170466.fits,Ks,sky 6,frames 10.0 6, TCS UTC at start (  6h:9m:44.0s)               ,OPEN
NCrd170518.fits,K,Ha_flat_K_on,expose 5.0, TCS UTC at start ( 6h:56m:18.0s)               ,Grism#1
NCrd170519.fits,K,Ha_flat_K_on,expose 5.0, TCS UTC at start ( 6h:56m:34.0s)               ,Grism#1
NCrd170520.fits,K,Ha_flat_K_on,expose 5.0, TCS UTC at start ( 6h:56m:51.0s)               ,Grism#1
NCrd170521.fits,K,Ha_flat_K_on,expose 5.0, TCS UTC at start (  6h:57m:8.0s)               ,Grism#1
NCrd170522.fits,K,Ha_flat_K_on,expose 5.0, TCS UTC at start ( 6h:57m:24.0s)               ,Grism#1
NCrd170523.fits,K,Ha_flat_K_on,expose 5.0, TCS UTC at start ( 6h:57m:40.0s)               ,Grism#1
NCrd170524.fits,K,Ha_flat_K_off,expose 5.0, TCS UTC at start ( 6h:58m:22.0s)               ,Grism#1
NCrd170525.fits,K,Ha_flat_K_off,expose 5.0, TCS UTC at start ( 6h:58m:39.0s)               ,Grism#1
