Name,Filter,Object,ExposureMode,UT
NCza230884.fits,J,mdar-20.0-2 5,mdark 20.0 2, TCS UTC at start (  9h:1m:27.0s)               
NCza230885.fits,J,mdar-20.0-2 6,mdark 20.0 2   1/2, TCS UTC at start (  9h:1m:31.0s)               
NCza230886.fits,J,mdar-20.0-2 6,mdark 20.0 2   2/2, TCS UTC at start (   9h:2m:2.0s)               
NCza230887.fits,J,mdar-20.0-2 6,mdark 20.0 2, TCS UTC at start (  9h:2m:32.0s)               
NCza230888.fits,J,mdar-5.0-3 1,mdark 5.0 3   1/3, TCS UTC at start (  9h:2m:36.0s)               
NCza230889.fits,J,mdar-5.0-3 1,mdark 5.0 3   2/3, TCS UTC at start (  9h:2m:52.0s)               
NCza230890.fits,J,mdar-5.0-3 1,mdark 5.0 3   3/3, TCS UTC at start (   9h:3m:7.0s)               
NCza230891.fits,J,mdar-5.0-3 1,mdark 5.0 3, TCS UTC at start (  9h:3m:23.0s)               
NCza230892.fits,J,mdar-5.0-3 2,mdark 5.0 3   1/3, TCS UTC at start (  9h:3m:26.0s)               
NCza230893.fits,J,mdar-5.0-3 2,mdark 5.0 3   2/3, TCS UTC at start (  9h:3m:41.0s)               
NCza230894.fits,J,mdar-5.0-3 2,mdark 5.0 3   3/3, TCS UTC at start (  9h:3m:57.0s)               
NCza230895.fits,J,mdar-5.0-3 2,mdark 5.0 3, TCS UTC at start (  9h:4m:13.0s)               
NCza230896.fits,J,mdar-5.0-3 3,mdark 5.0 3   1/3, TCS UTC at start (  9h:4m:16.0s)               
NCza230897.fits,J,mdar-5.0-3 3,mdark 5.0 3   2/3, TCS UTC at start (  9h:4m:31.0s)               
NCza230898.fits,J,mdar-5.0-3 3,mdark 5.0 3   3/3, TCS UTC at start (  9h:4m:46.0s)               
NCza230899.fits,J,mdar-5.0-3 3,mdark 5.0 3, TCS UTC at start (   9h:5m:2.0s)               
NCza230900.fits,J,mdar-5.0-3 4,mdark 5.0 3   1/3, TCS UTC at start (   9h:5m:5.0s)               
NCza230901.fits,J,mdar-5.0-3 4,mdark 5.0 3   2/3, TCS UTC at start (  9h:5m:20.0s)               
NCza230902.fits,J,mdar-5.0-3 4,mdark 5.0 3   3/3, TCS UTC at start (  9h:5m:37.0s)               
NCza230903.fits,J,mdar-5.0-3 4,mdark 5.0 3, TCS UTC at start (  9h:5m:52.0s)               
NCza230904.fits,J,mdar-5.0-3 5,mdark 5.0 3   1/3, TCS UTC at start (  9h:5m:55.0s)               
NCza230905.fits,J,mdar-5.0-3 5,mdark 5.0 3   2/3, TCS UTC at start (  9h:6m:10.0s)               
NCza230906.fits,J,mdar-5.0-3 5,mdark 5.0 3   3/3, TCS UTC at start (  9h:6m:26.0s)               
NCza230907.fits,J,mdar-5.0-3 5,mdark 5.0 3, TCS UTC at start (  9h:6m:42.0s)               
NCza230908.fits,J,mdar-5.0-3 6,mdark 5.0 3   1/3, TCS UTC at start (  9h:6m:45.0s)               
NCza230909.fits,J,mdar-5.0-3 6,mdark 5.0 3   2/3, TCS UTC at start (   9h:7m:1.0s)               
NCza230910.fits,J,mdar-5.0-3 6,mdark 5.0 3   3/3, TCS UTC at start (  9h:7m:16.0s)               
NCza230911.fits,J,mdar-5.0-3 6,mdark 5.0 3, TCS UTC at start (  9h:7m:31.0s)               
