Name,Filter,Object,ExposureMode,UT,Grism
NCrk110137.fits,J,lin 0.5s,mexp 0.5 5   2/5, TCS UTC at start (17h:24m:46.0s)               ,
NCrk110138.fits,J,lin 0.5s,mexp 0.5 5   3/5, TCS UTC at start ( 17h:25m:2.0s)               ,
NCrk110139.fits,J,lin 0.5s,mexp 0.5 5   4/5, TCS UTC at start (17h:25m:24.0s)               ,
NCrk110140.fits,J,lin 0.5s,mexp 0.5 5   5/5, TCS UTC at start (17h:25m:39.0s)               ,
NCrk110141.fits,J,lin 0.5s,mexp 0.5 5, TCS UTC at start (17h:25m:55.0s)               ,
NCrk110142.fits,J,drk 0.5s,mdark 0.5 5   1/5, TCS UTC at start ( 17h:26m:7.0s)               ,
NCrk110143.fits,J,drk 0.5s,mdark 0.5 5   2/5, TCS UTC at start (17h:26m:22.0s)               ,
NCrk110144.fits,J,drk 0.5s,mdark 0.5 5   3/5, TCS UTC at start (17h:26m:37.0s)               ,
NCrk110145.fits,J,drk 0.5s,mdark 0.5 5   4/5, TCS UTC at start (17h:26m:52.0s)               ,
NCrk110146.fits,J,drk 0.5s,mdark 0.5 5   5/5, TCS UTC at start ( 17h:27m:8.0s)               ,
NCrk110147.fits,J,drk 0.5s,mdark 0.5 5, TCS UTC at start (17h:27m:23.0s)               ,
NCrk110148.fits,J,lin 42s,mexp 42.0 5   1/5, TCS UTC at start (17h:27m:34.0s)               ,
NCrk110149.fits,J,lin 42s,mexp 42.0 5   2/5, TCS UTC at start (17h:28m:33.0s)               ,
NCrk110150.fits,J,lin 42s,mexp 42.0 5   3/5, TCS UTC at start (17h:29m:30.0s)               ,
NCrk110151.fits,J,lin 42s,mexp 42.0 5   4/5, TCS UTC at start (17h:30m:28.0s)               ,
NCrk110152.fits,J,lin 42s,mexp 42.0 5   5/5, TCS UTC at start (17h:31m:25.0s)               ,
NCrk110153.fits,J,lin 42s,mexp 42.0 5, TCS UTC at start (17h:32m:23.0s)               ,
NCrk110154.fits,J,drk 42s,mdark 42.0 5   1/5, TCS UTC at start (17h:32m:35.0s)               ,
NCrk110155.fits,J,drk 42s,mdark 42.0 5   2/5, TCS UTC at start (17h:33m:32.0s)               ,
NCrk110156.fits,J,drk 42s,mdark 42.0 5   3/5, TCS UTC at start (17h:34m:30.0s)               ,
NCrk110157.fits,J,drk 42s,mdark 42.0 5   4/5, TCS UTC at start (17h:35m:27.0s)               ,
NCrk110158.fits,J,drk 42s,mdark 42.0 5   5/5, TCS UTC at start (17h:36m:26.0s)               ,
NCrk110159.fits,J,drk 42s,mdark 42.0 5, TCS UTC at start (17h:37m:23.0s)               ,
NCrk110160.fits,J,lin 2s,mexp 2.0 5   1/5, TCS UTC at start (17h:37m:34.0s)               ,
NCrk110161.fits,J,lin 2s,mexp 2.0 5   2/5, TCS UTC at start (17h:37m:50.0s)               ,
NCrk110162.fits,J,lin 2s,mexp 2.0 5   3/5, TCS UTC at start ( 17h:38m:7.0s)               ,
NCrk110163.fits,J,lin 2s,mexp 2.0 5   4/5, TCS UTC at start (17h:38m:22.0s)               ,
NCrk110164.fits,J,lin 2s,mexp 2.0 5   5/5, TCS UTC at start (17h:38m:38.0s)               ,
NCrk110165.fits,J,lin 2s,mexp 2.0 5, TCS UTC at start (17h:38m:52.0s)               ,
NCrk110166.fits,J,drk 2s,mdark 2.0 5   1/5, TCS UTC at start ( 17h:39m:5.0s)               ,
NCrk110167.fits,J,drk 2s,mdark 2.0 5   2/5, TCS UTC at start (17h:39m:20.0s)               ,
